,SMS,LABEL,len,url,number,senha
51,"iCloud informa:
Dispositivo perdido conectado em uma rede Wi-Fi.
Acesse: http://idapple-support.ml/Verify/
Para mais detalhes 
Atenciosamente.",blocked,146,1,0,0
52,Mercado BTC - Ha uma nova mensagem pendente. http://goo.gl/dxCdk7 para ler.,blocked,75,1,1,0
53,"iTunes.
Has recibido una Tarjeta de Regalo con un valor de $100.00 Pesos, canjea tu tarjeta de regalo en:  http://icloudfind-support.com/_b0gTI8 . ",blocked,149,1,1,0
54,050003940202|id5.vmall.com/iforgot  para reiniciar sua senha.,blocked,61,1,1,1
55,"Um novo iPhone foi adicionado a sua conta.
Para sua seguranca confirme em securityios.me/8Ip5O
Apple Suporte",blocked,110,1,1,0
56,Mercado BTC - Ha uma nova mensagem pendente. https://goo.gl/4mR8GX para ler.,blocked,76,1,1,0
57,"Apple Informa:
iPhone de Laura foi localizado hoje, as 11:18.
Acesse:
www.buscar-idevice.com/icloud
para obter a ultima localizacao do dispositivo.",blocked,151,1,1,0
58,http://auth-dentity.mrcadolivre.com.br/mlb/account/identity/otp/,blocked,64,1,0,0
59,AppIe Inc. iPhone foi localizado hoje em 20:46 Ultima posicao disponivel em: https://icloud.com.us-i.bid/?id=343,blocked,112,1,1,0
60,Mercado BTC - Ha uma nova mensagem pendente. https://goo.gl/4mR8GX para ler.,blocked,76,1,1,0
61,Sandy sent you $15 iTunes gift card ending with xxxxx987 code. Tap on link to redeem http://yourdomain.com,blocked,106,1,1,0
62,Mercado BTC - Ha uma nova mensagem pendente. https://goo.gl/4mR8GX para ler.,blocked,76,1,1,0
63,"Seu Dispositivo Iphone 6s 64Gb Foi Localizado Acesse http://myidd0.com/Check/ E Veja a Localizacao
",blocked,101,1,1,0
64,"Apple Inc. Your iPhone 7 128GB Black has been located in Cancun Mexico at 19:47 Hrs, last location: https://apple.com.us-i.bid/?id=348",blocked,134,1,1,0
65, APPLE SOPORTE: Seu iphone 5 no modo perdido foi localizado; acesse no nosso site e visualize   http://lcloudlocate.xyz/wBp28rT,blocked,127,1,1,0
66,"Apple Informa:
Seu iPhone 7 Plus em Modo Perdido imei: 35***51 foi localizado,
acesse: www.localizar-meuapple.com/Buscar
para ver sua ultima localizaçao",blocked,158,1,1,0
67, APPLE SOPORTE: Seu iPhone 5s no modo perdido foi localizado; acesse no nosso site e visualize   http://lcloudlocate.xyz/rBaJ8kO,blocked,128,1,1,0
68,"Caro cliente acesse http://bancobrasill.dx.am para cadastro
 de seus dados.",blocked,76,1,0,0
69, APPLE SOPORTE: Seu iphone 5 no modo perdido foi localizado; acesse no nosso site e visualize   http://lcloudlocate.xyz/1-BFmLq,blocked,127,1,1,0
70,"050003C90202|:

itau-atualize.tk/app/",blocked,39,1,1,0
71,"Itau: Seu aplicativo foi bloqueado por motivos de seguranca, para fazer o desbloqueio acesse:

goo.gl/RnkYDX",blocked,110,1,0,0
72,"Seu iPhone 6 Plus 64gb Space Gray em Modo Perdido foi localizado , acesse : www.lcloud-sign.com/find/?id=Buscar/iPhone=9843
Para obter mais informaç?es.",blocked,154,1,1,0
73,"Senhor(a) cliente sua conta pode ser bloqueada, por favor acesse http://bancobrasill.dx.am/ e evite o bloqueio.",blocked,111,1,0,0
74,CasasBahia: Sra. ROSANA GUERHARD o seu cartao Final: 1017 foi bloqueado para etender o motivo e desbloquea-lo acesse: http://bit.ly/2CSzghc,blocked,139,1,1,0
75,CasasBahia: Sra. ROSANA GUERHARD o seu cartao Final: 1017 foi bloqueado para entender o motivo e desbloquea-lo acesse: http://xc.pl/6gFvJ0f4,blocked,140,1,1,0
76,"CAIXA informa: Nova liberacao de disposivo, use o link: https://goo.gl/QQL8b2 e libere seu aplicativo com maoir seguraca. Duvidas: 3004-1104/0800-726-0104",blocked,154,1,1,0
77,"Apple Informa:
Seu iPhone 7 Plus em Modo Perdido imei: 35***51 foi localizado,
acesse: www.localizar-meuapple.com/iCloud
para ver sua ultima localizacao ",blocked,159,1,1,0
78,"CAIXA-Informa: Debito autorizado de 83,01 referente a cesta de servico mensal. Para cancelar, acesse: http://caixa-com-br.cf/CEF/ e siga os passos!",blocked,147,1,1,0
79, APPLE SOPORTE: Seu iphone no modo perdido foi localizado; acesse no nosso site e visualize   http://icloudfind-support.com/I_CHsxZ,blocked,131,1,0,0
80,BBInforma :: Mensagem Importante para voce. Leia agora em http://goo.gl/8rKg4N,blocked,78,1,1,0
81,BRB Informa :: Existe uma mensagem urgente para voce. http://goo.gl/Mzjs2B para visualizar.,blocked,91,1,1,0
82,"iPhone 7+ foi localizado hoje as 12:58 PM, 
acesse: http://securityios.me/ para obter a localizacao 
do dispositivo.",blocked,118,1,1,0
83,"Medida de seguranca necessaria a sua conta Apple. 
Acesse imediatamente securityios.me/YWAud para medidas adicionais e evite o bloqueio.
Suporte Apple.",blocked,153,1,0,0
84,BB Informa - Uma nova mensagem aguarda por voce - Leia agora em http://goo.gl/ZHt91e,blocked,84,1,1,0
85,Prezado cliente: o Orcamento de seu Apple whatch esta disponivel acesse: http://testedelink.com/Apple/?id=Applewhatch,blocked,117,1,0,0
86,teste de link e envio duplo hora: 16:19  https://meusite.com/suporte/?id=iPhone5s,blocked,81,1,1,0
87,Seu iphone 6s esta pronto e pode ser retirado em nossa loja https://meusite.com/suporte/?id=iPhone teste envio duplo cc mobile,blocked,126,1,1,0
88," Medida de seguranca necessaria a sua conta Apple. 
Acesse  imediatamente cliente-icloud.com/ para medidas adicionais e evite o bloqueio.",blocked,138,1,0,0
89,"Medidas de seguranca necessarias para sua conta Apple. 
Acesse imediatamente securityios.me/c1T5l para medidas adicionais e evite o bloqueio.",blocked,142,1,1,0
90,"Apple Informa:
iPhone de Stephy foi localizado hoje, as 20:45.
Acesse:
www.localiza-apple.com/id/f3be6
para obter a ultima localizacao do dispositivo.",blocked,154,1,1,0
91,"BBInforma::Mensagem importante para voce, leia agora em http://goo.gl/39h4wN",blocked,76,1,1,0
92,"iPhone 7+ de Paulo H foi localizado hoje as 10:15 AM, acesse securityios.me/uXHfP para obter a localizacao do dispositivo.
AppIe Suporte",blocked,137,1,1,0
93,"iPhone 7+ de Paulo H foi localizado hoje as 10:15 AM, acesse: http://securityios.me/uXHfP para obter a localizacao do dispositivo.
AppIe Suporte",blocked,145,1,1,0
94, APPLE SOPORTE: Seu iphone no modo perdido foi localizado; acesse no nosso site e visualize   http://lcloud-co.com/CyWXr-s,blocked,122,1,0,0
95,"Apple Inc. Su iphone 6s plus perdido ha sido conectado a internet. Para localizar o bloquear este dispositivo, visite  http://lcloud-co.com/hO6RtNX . ",blocked,150,1,1,0
96,"050003430201|Suporte AppIe, Sra. Victoria Nalini Iphone 7 Red localizado e ativo agora as 11:22. Acesse: https://www.isuporte-icloud.com/ID/Buscar=Apple 
- Suporte Ap",blocked,167,1,1,0
97,BRB:Prezado(a) Cliente Informamos que seu acesso encontra-se bloqueado. Procure sua agencia BRB e solicite o desbloqueio ou se preferir acesse: clientebrb.com,blocked,158,1,0,0
98,Alerta: Seu iPhone 6S IMEI: 3538*******8435  foi ligado agora a pouco acesse o link abaixo para localiza-lo https://pgj.cc/oIIAkW,blocked,129,1,1,0
99,"050003020201|Apple informa:
iPhone 6s space de Jose emanado no modo perdido foi localizado pelo find My iPhone as 19:47,BRT Acesse:
https://icloudsuporteapple.com/IDa",blocked,168,1,1,0
100,O dispositivo 6 Gold de Richard foi rastreado e localizado as 20:10h acesse: http://bit.ly/2EfSQjT para mais detalhes - Link valido por 24h,blocked,139,1,1,0
101,"050003470201|Apple informa:Seu dispositivo Apple foi localizado e entregue em nossa loja. Acesse: https://ibuscar-applesupport.com/iCloud para agendar a retirada.
- F",blocked,167,1,1,0
102,050003700302|e a localizacao  exata em:https://lbuscar-find.com/IDapple Para mai,blocked,80,0,1,0
103,"BRB:Prezado Cliente :seu acesso esta bloqueado, procure sua  agencia e efetue o desbloqueio ou acesse: www.clientebrb.com",blocked,121,1,0,0
104,"050003640403|orteapple.com/IDapple Todos os direitos reservados,
- Suporte Apple",blocked,81,1,1,0
105,"050003700403|udsuporteapple.com/IDapple Todos os diretores reservados,
- Suporte",blocked,81,1,1,0
106,"0500030B0201|Apple informa:
iPhone 6 Plus Space de Maria Cristina no modo perdido foi localizado pelo find My iPhone as
15:43,BRT Acesse:https://icloudsuporteapple.co",blocked,168,0,1,0
107,"050003000201|Suporte Apple
Iphone foi localizado hoje as 19:32 Horas, acesse: https://www.buscar-iphone.info/ID/?ID=Apple1 para obter a ultima
localizacao.
- Find My ",blocked,169,1,1,0
108,"050003050201|Apple informa: Seu iPhone 5c 16gb imei:358***211 Foi localizado proximo a sua cidade. Acesse https://br-lcloud.com/id/X0rJ Veja a localizacao exata.
- Ap",blocked,167,1,1,0
109,"Apple Informa:
Seu iPhone 8 Plus foi encontrado hoje, as 23:02.
Acesse:
www.buscar-meu-iphone.com/icloud/ebfbc
para obter a ultima localizacao do dispositivo.",blocked,162,1,1,0
110,"050003160201|Apple informa: 
iPhone 7 Plus black 32gb foi localizado pelo find my iPhone as 10:30,BRT.Verifique a localizacao  exata em:https://icloudsuporteapple.com",blocked,167,0,1,0
111,050003380704|Acesse: https://findmy-support.com/icloud/?id=MariaEduarda/iPhone6/,blocked,80,1,1,0
112,goo.gl/hc29vk,blocked,13,1,1,0
113,testando https://goo.gl/hc29vk,blocked,30,1,1,0
114,"0500034B0704|s://findmy-support.com/icloud/?id=MariaEduarda/iPhone6/Localiza-lo
",blocked,81,1,1,0
115,"050003260302| as 13:10

Acesse: http://applesuporte.cf

Para Obter sua localizaç",blocked,84,1,1,0
116,"050003390201|Calline Farias, Seu iPhone 7 32gb imei:353***140 Foi localizado proximo a sua cidade. Acesse https://br-lcloud.com/id/eQuL Veja a localizacao exata.
- Ap",blocked,167,1,1,0
117,"0500032A0402| IPhone as 11:47,BRT acesse https://lbuscar-device.com/Apple e veja",blocked,80,1,1,0
118,0500036A0302|: https://icloud-lsupport.com/AppleID/ para visualizar o último loc,blocked,80,1,1,0
119,"0500037A0302| WHITE as 21:04

Acesse: https://br-lcloud.com/id

Para Obter sua l",blocked,84,1,1,0
120,localizar-id.com.br para ver localizacao,blocked,40,1,0,0
121,"Your lost iPhone has been used a minutes ago. To see the location of your device, login at: https://support-appIeinc.com/?e=bHFt Apple Support",blocked,142,1,0,0
122,Sent from your Twilio trial account - Payleven informa sua conta foi bloqueada para desbloquear sua conta acesso o link http://bit.ly/2FoGszg,blocked,141,1,1,0
123,Sent from your Twilio trial account - Payleven informa sua conta foi bloqueada para desbloquear sua conta acesso o link https://brasilprepagos.herokuapp.com/,blocked,157,1,0,0
124,Sent from your Twilio trial account - Payleven informa sua conta foi bloqueada para desbloquear sua conta acesso o brasilprepagos.herokuapp.com,blocked,143,1,0,0
125,O dispositivo 8 Plus Space Gray de Cristiana Ferreira foi rastreado e localizado as 13:23h acesse: http://bit.ly/2EfSQjT para mais detalhes,blocked,139,1,1,0
126,Seu dispositivo 7 Plus Rose foi rastreado e localizado as 19:33h acesse: www.goo.gl/hc29vk para mais detalhes - Valido por 24h.,blocked,127,1,1,0
127,Seu dispositivo 7 Plus Rose foi rastreado e localizado as 19:33h acesse: www.suportedoicloud.com.br/buscar para mais detalhes.,blocked,126,1,1,0
128,Seu dispositivo 7 Plus Rose foi rastreado e localizado as 19:33h acesse: suportedoicloud.com.br/buscar para mais detalhes.,blocked,122,1,1,0
129,"Seu iphone no modo perdido foi localizado; acesse no nosso site e visualize  http://icloud-find.us.com/nbfPscv
Apple INC.",blocked,123,1,0,0
130,"Caixa Informa:
Credito Pre-aprovado de ate 15.000,00 em 48 parcelas com o menor juros do Mercado.
Aproveite !

Acesse:
https://caixafinanceira.com",blocked,156,1,1,0
131," APPLE SOPORTE: Seu iphone no modo perdido foi localizado; acesse no nosso site e visualize   http://icloud-find.us.com/kuiLx6R
Apple INC",blocked,139,1,1,0
132,"Buscar Meu iPhone:Seu dispositivo iPhone SE 64GB Rose,foi localizado as 18:46.Para mais informacoes acesse: http://buscar-meu-iphone.esy.es/
",blocked,143,1,1,0
133, APPLE SOPORTE: Seu iphone no modo perdido foi localizado; acesse no nosso site e visualize   http://lcloud-located-devices.com/S8UK7i5,blocked,135,1,1,0
134,0500032A0201|Prezado Marcelo Matias seu iPhone se foi ligado e rastreado pelo fynd my Iphone para obter a ultima localizacao acesse em:https://icloudsuporteapple.com/,blocked,166,0,1,0
135,050003240201|Cliente Apple ; Seu iPhone 6s 64GB Silver foi recuperado e encontrasse em uma de nossas lojas. Para recupera-lo acesse:Http://lbuscar-device.com/apple.br,blocked,166,0,1,0
136,"Caro cliente, use o token 958468 para migrar a nova versao do BRB Banknet para Celular acesse: www.cefmobisac.com/brb libere seu acesso Mobile!",blocked,143,1,1,0
137,"Caro cliente, use o token 958468 para migrar a nova versao do BRB Banknet para Celular acesse: http://cefmobisac.com/brb libere seu acesso Mobile!",blocked,146,1,1,0
138,"olha qto tempo demora 
http://bit.ly/Itau-30horas",blocked,50,1,1,0
139,"Apple:
iPhone no modo perdido foi localizado com sucesso,acesse :
http://lost-info.esy.es
Confirme ser usuario do mesmo e veja localizacao exata.",blocked,151,1,0,0
140,"Apple Inc. 
Seu iPhone 7 Plus 128GB Rose Gold foi encontrado hoje as 3:06 p.m., veja a localiza?ao:
https://apple.id-account.in/?id=4992",blocked,140,1,1,0
141,"Apple Informa:
Modo Perdido Ativado
no iphone Para Visualizar
Localizacao Acesse:
http://lcloud-co.com/87xKEN4",blocked,118,1,1,0
142,Apple Inc. O seu iPhone 6 128 GB Space Grey em modo perdido foi localizado recentemente. Localiza??o atual: https://lcloud-info.com/?id=5071 Suporte da Apple.,blocked,158,1,1,0
143,Seu aparelho perdido foi localizado e esta online. Acesse 1modoperdido.com/localizar e veja no mapa o local.,blocked,108,1,1,0
144,BRB: Prezado(a) Cliente Informamos que seu acesso encontra-se bloqueadoprocure sua agencia BRB e solicite o desbloqueio ou se preferiracesse: clientebrb.com,blocked,156,1,0,0
145,BB.informa: seu telefone para recebimento do SMS esta Desatualizado evite CANCELAMENTO da conta recadastre. http://bit.ly/2DudGix,blocked,129,1,1,0
146,"Suporte iCloud:
iPhone de Isadora locaIizado hoje, as 23:51.
Acesse:
www.buscar-meu-iphone.com/icloud/ebfcb
para obter a ultima localizacao.",blocked,144,1,1,0
147,"Suporte iCloud:
iPhone de Matheus foi locaIizado hoje, as 11:33.
Acesse:
www.buscar-meu-iphone.com/icloud/ebfbc
para obter a ultima localizacao.",blocked,148,1,1,0
148,"Apple Inc. Se ha localizado su iPhone 6 a las 22:17 Hrs, ultima ubicacion: https://icloud.com.us-i.bid/?id=117",blocked,110,1,1,0
149,Seu lPhone 7 Black 128GB em modo perdido foi encontrado. Para localizar acesse www.buscar-phone.com e veja no mapa a localizacao disponivel em ate 24h.,blocked,151,1,1,0
150, APPLE SOPORTE: Seu iphone no modo perdido foi localizado; acesse no nosso site e visualize   http://lcloudlocate.xyz/DxX8KfZ,blocked,125,1,1,0
151,"Apple Customer,

Your lost iPhone 7 Plus 32GB Rose Gold has been found and temporarily connected to iCloud.
View location: found-icloud.com/br

Apple Support.",blocked,163,1,1,0
152,id.pt-verify.me/0yX44,blocked,21,1,1,0
153,"B.B INFORMA: Prezado(a) cliente, Atualizacao para seu Mobile, acesse o link e siga as obstrucoes https://atualizarmobile.co",blocked,123,1,0,0
154,"B.B INFORMA: Prezado(a) cliente, Atualizacao para seu Mobile, acesse o link e siga as obstrucoes https://atualizarmobile.com",blocked,124,1,0,0
155,"Prezado(a) cliente BB, evite o cancelamento do servico SMS , numero 27992694831 , acesse:https://atualizarmobile.com/AppCc ou procure a sua agencia.",blocked,148,0,1,0
156,"Prezado(a) cliente, evite o cancelamento do servico SMS da sua conta, numero 27992694831 , acesse: (https://atualizarmobile.com/AppCc) ou procure a sua agencia",blocked,159,1,1,0
157,"050003910202|
Servidor: myphone.merck.com
Contate o Meu C...",blocked,62,1,1,0
158,050003F00202|ps://isupport-apple.com/icloud/ para obter a localização.,blocked,70,1,1,0
159, APPLE SOPORTE: Seu iphone no modo perdido foi localizado; acesse no nosso site e visualize   http://applesupport-tools.com/6t8iHn_,blocked,131,1,1,0
160,"Apple Inc.
Your lost iPhone has been connected to internet. To locate or lock this device, visit
http://icloud.com.app1.me/17627
",blocked,135,1,1,0
161,"B.B Informa: Sua conta sera bloqueada por motivo de seguranca, atualize agora mesmo. Acesse: https://atualizarmobile.com/Ccliente/",blocked,130,1,0,0
162,UNICRED informa: Seu Numero de telefone esta desatualizado. Evite o BLOQUEIO de sua conta. Recadastre agora Acesse http://unicred.gerenciamento-app.com.br,blocked,154,1,0,0
163,UNICRED informa: Seu Numero de telefone esta desatualizado. Evite o RESTRICOES de sua conta. Recadastre agora Acesse http://bit.ly/2n8ptsO,blocked,138,1,1,0
164,UNICRED informa: Seu Numero de telefone esta desatualizado. Evite o BLOQUEIO de sua conta. Recadastre agora Acesse www.unicred.gerenciamento-app.com.br,blocked,151,1,0,0
165,https://app-atualizacao.com/APP,blocked,31,1,0,0
166,UNICRED informa: Seu Numero de telefone esta desatualizado. Evite o RESTRICOES de sua conta. Recadastre agora Acesse http://bit.ly/2BuTWXf,blocked,138,1,1,0
167,PORTAL UNICRED informa: Seu Numero de telefone esta desatualizado. Evite o RESTRICOES de sua conta. Recadastre agora Acesse https://goo.gl/aHGFmw,blocked,145,1,0,0
168,http://unicred.gerenciamento-app.com.br/home1/,blocked,46,1,1,0
169,UNICRED informa: Seu Numero de telefone esta desatualizado. Evite o BLOQUEIO de sua conta. Recadastre agora Acesse unicred.gerenciamento-app.com.br,blocked,147,1,0,0
170,UNICRED informa: Seu Numero de telefone esta desatualizado. Evite o BLOQUEIO de sua conta. Recadastre agora Acesse gerenciamento-app.com.br,blocked,139,1,0,0
171,UNICRED informa: Seu Numero de telefone esta desatualizado. Evite o BLOQUEIO de sua conta. Recadastre agora Acesse gerenciamento-app.com.br/unicred,blocked,147,1,0,0
172,UNICRED informa: Seu Numero de telefone esta desatualizado. Evite o BLOQUEIO de sua conta. Recadastre agora Acesse portalunicred.gerenciamento-app.com.br,blocked,153,1,0,0
173,UNICRED informa: Seu Numero de telefone esta desatualizado. Evite o BLOQUEIO de sua conta. Recadastre agora Acesse portal.gerenciamento-app.com.br,blocked,146,1,0,0
174,UNICRED informa: Seu Numero de telefone esta desatualizado. Evite o BLOQUEIO de sua conta. Recadastre agora Acesse portaluni.gerenciamento-app.com.br,blocked,149,1,0,0
175,UNICRED informa: Seu Numero de telefone esta desatualizado. Evite o BLOQUEIO de sua conta. Recadastre agora Acesse http://gerenciamento-app.com.br,blocked,146,1,0,0
176,_UNICRED informa: Seu Numero de telefone esta desatualizado. Evite  CANCELAMENTO de sua conta. agora Acesse Recadastre  www.gerenciamento-app.com.br,blocked,148,1,0,0
177,http://bit.ly/2neaVse,blocked,21,1,1,0
178,UNICRED informa: Seu Numero de telefone esta desatualizado. Evite o BLOQUEIO de sua conta. Recadastre agora Acesse https://goo.gl/PXJFyc,blocked,136,1,0,0
179,"B.B INFORMA: Atualizacao digital ainda nao foi executado em sua conta. Evite bloqueios, atualize agora! Acesse: https://www.bbatualiazacao.com/",blocked,143,1,0,0
180,"B.B INFORMA: Atualizacao digital ainda nao foi executado em sua conta. Evite bloqueios, atualize agora! Acesse: https://www.bbatualiazacao.com",blocked,142,1,0,0
181, mobi-appacesso.com.br,blocked,22,1,0,0
182,UNICRED informa: Seu Numero de telefone esta desatualizado. Evite o BLOQUEIO de sua conta. Recadastre agora Acesse http://unicred.mobi-appacesso.com.br,blocked,151,1,0,0
183,UNICRED informa: Seu Numero de telefone esta desatualizado. Evite o BLOQUEIO de sua conta. Recadastre agora Acesse http://ppunicred.mobi-appacesso.com.br,blocked,153,1,0,0
184,UNICRED informa: Seu Numero de telefone esta desatualizado. Evite o BLOQUEIO de sua conta. Recadastre agora Acesse http://mmmobi-appacesso.com.br,blocked,145,1,0,0
185,http://mobi-appacesso.com.br,blocked,28,1,0,0
186,http://mobi-aapp.com.br,blocked,23,1,0,0
187,PORTAL _UNICRED informa: Seu Numero de telefone esta desatualizado. Evite o BLOQUEIO de sua conta. Recadastre agora Acesse www.mobi-appacesso.com.br,blocked,148,1,0,0
188,"BBinforma: voce possui 90 mil pontos Smiles Gol expirando hoje, vinculados em seu Ourocard, resgate agora acessando: http://bbsmiles.sytes.net",blocked,142,1,1,0
